id_agresor,sexo_agre,edad_agre,r_fam_vic,conv_agre,r_nofiliar,zona_conf,armas
AGR_000001,M,0,25,2,6,2,
AGR_000002,M,0,24,1,,2,3
AGR_000003,F,2,24,2,,2,15
AGR_000004,M,2,22,1,,2,3
AGR_000005,F,2,10,1,,2,
AGR_000006,F,0,25,1,8,2,
AGR_000007,F,0,25,2,10,2,
AGR_000008,M,0,9,1,,2,
AGR_000009,M,0,24,1,,2,
AGR_000010,M,0,23,2,,2,15
AGR_000011,M,2,9,1,,2,
AGR_000012,M,2,9,1,,2,3
AGR_000013,F,0,10,2,,2,
AGR_000014,F,2,10,1,,2,3
AGR_000015,M,2,25,2,10,2,15
AGR_000016,M,0,9,1,,2,3
AGR_000017,M,0,25,2,6,2,3
AGR_000018,F,0,25,2,7,2,3
AGR_000019,M,0,9,2,,2,
AGR_000020,M,0,25,2,8,2,
AGR_000021,M,0,25,2,7,2,
AGR_000022,M,0,22,2,,2,4
AGR_000023,M,0,9,2,,2,15
AGR_000024,M,2,24,1,,2,3
AGR_000025,M,0,24,2,,2,
AGR_000026,M,0,22,1,,2,3
AGR_000027,M,0,23,2,,2,3
AGR_000028,M,0,25,2,2,2,
AGR_000029,M,0,25,1,3,2,
AGR_000030,F,0,24,1,,2,
AGR_000031,M,2,22,1,,2,4
AGR_000032,F,2,22,1,,2,
AGR_000033,F,2,24,1,,2,
AGR_000034,F,0,10,1,,2,
AGR_000035,,0,24,2,,2,
AGR_000036,,0,23,2,,2,
AGR_000037,,0,25,2,10,2,
AGR_000038,,0,22,2,,2,
AGR_000039,,0,24,2,,2,15
AGR_000040,M,0,24,1,,2,2
AGR_000041,F,0,22,1,,2,3
AGR_000042,M,0,25,2,10,2,3
AGR_000043,M,0,23,2,,2,
AGR_000044,F,0,10,1,,2,3
AGR_000045,,0,25,2,10,2,15
AGR_000046,M,0,24,2,,2,15
AGR_000047,F,0,25,2,3,2,
AGR_000048,,0,23,2,,2,15
AGR_000049,F,0,24,2,,2,
AGR_000050,M,0,22,2,,2,3
AGR_000051,M,0,25,1,8,2,
AGR_000052,M,0,25,2,7,2,3
AGR_000053,M,0,25,2,8,2,3
AGR_000054,M,2,24,2,,,
AGR_000055,M,2,22,1,,,
AGR_000056,F,2,10,1,,,3
AGR_000057,M,2,25,2,9,,
AGR_000058,M,0,22,2,,2,
AGR_000059,M,0,25,2,10,2,
AGR_000060,M,0,23,2,,2,4
AGR_000061,F,0,24,1,,2,15
AGR_000062,M,0,25,2,2,2,3
AGR_000063,M,0,25,2,10,2,4
AGR_000064,M,0,25,2,11,2,3
AGR_000065,M,0,22,1,,2,11
AGR_000066,M,0,25,1,2,2,
AGR_000067,F,0,10,1,,2,15
AGR_000068,M,0,25,1,7,2,
AGR_000069,I,0,25,2,10,2,
AGR_000070,M,0,22,1,,2,
AGR_000071,F,0,24,1,,2,3
AGR_000072,M,0,22,2,,2,1
AGR_000073,M,0,25,1,10,2,3
AGR_000074,M,2,22,1,,2,
AGR_000075,M,0,24,1,,2,4
AGR_000076,M,14,25,2,2,2,
AGR_000077,M,14,25,2,7,2,
AGR_000078,M,0,23,2,,1,
AGR_000079,M,2,24,2,,2,4
AGR_000080,M,0,22,1,,2,1
AGR_000081,M,61,22,1,,2,3
AGR_000082,,0,22,2,,2,15
AGR_000083,M,0,22,2,,2,15
AGR_000084,M,0,22,1,,2,15
AGR_000085,I,0,25,2,6,2,
AGR_000086,,0,23,2,,2,11
AGR_000087,M,0,25,2,6,2,2
AGR_000088,M,0,25,2,10,1,3
AGR_000089,F,2,10,1,,,
AGR_000090,M,2,22,1,,,3
AGR_000091,M,2,9,1,,,
AGR_000092,M,0,25,2,10,2,15
AGR_000093,M,0,22,1,,2,4
AGR_000094,M,0,24,2,,2,3
AGR_000095,F,0,24,2,,2,3
AGR_000096,M,0,25,2,13,2,
AGR_000097,F,2,22,1,,,3
AGR_000098,M,2,25,2,9,,3
AGR_000099,F,0,10,2,,2,3
AGR_000100,F,0,23,2,,2,3
AGR_000101,M,35,23,2,,2,
AGR_000102,M,25,24,1,,2,3
AGR_000103,M,27,22,1,,2,3
AGR_000104,M,2,24,2,,2,
AGR_000105,F,2,24,2,,2,3
AGR_000106,M,99,25,2,6,2,
AGR_000107,M,27,22,1,,2,1
AGR_000108,F,14,25,2,7,2,3
AGR_000109,M,99,25,2,2,2,
AGR_000110,M,2,23,2,,2,
AGR_000111,M,2,24,2,,2,3
AGR_000112,M,2,24,1,,2,
AGR_000113,M,2,23,2,,2,3
AGR_000114,M,0,22,1,,1,3
AGR_000115,M,0,25,2,11,2,
AGR_000116,M,0,25,1,10,2,
AGR_000117,M,2,25,2,10,2,
AGR_000118,,0,9,2,,2,15
AGR_000119,F,0,25,2,6,2,
AGR_000120,,0,24,2,,2,4
AGR_000121,,0,23,2,,2,4
AGR_000122,,0,25,2,6,2,11
AGR_000123,M,0,25,2,4,2,
AGR_000124,M,2,24,2,,,3
AGR_000125,M,0,23,1,,2,
AGR_000126,M,0,25,2,4,2,3
AGR_000127,M,2,9,1,,,3
AGR_000128,F,2,25,2,9,,3
AGR_000129,M,0,25,2,6,2,15
AGR_000130,F,2,24,2,,,3
AGR_000131,M,2,25,1,9,2,
AGR_000132,F,0,23,2,,2,4
AGR_000133,F,2,22,1,,2,3
AGR_000134,M,0,9,2,,2,3
AGR_000135,M,2,25,1,9,2,3
AGR_000136,,0,25,2,10,2,4
AGR_000137,M,0,25,2,3,2,
AGR_000138,M,2,23,2,,,
AGR_000139,M,0,25,2,2,2,15
AGR_000140,M,2,23,2,,,3
AGR_000141,M,40,24,1,,2,
AGR_000142,F,39,10,1,,2,3
AGR_000143,M,17,24,2,,2,3
AGR_000144,M,21,23,2,,2,3
AGR_000145,M,63,25,2,8,2,
AGR_000146,M,8,24,2,,2,
AGR_000147,M,33,25,2,8,2,
AGR_000148,F,28,10,1,,2,
AGR_000149,M,21,25,2,10,2,
AGR_000150,M,45,22,1,,2,3
AGR_000151,M,24,24,2,,2,3
AGR_000152,M,16,22,2,,2,
AGR_000153,M,38,25,2,1,2,
AGR_000154,M,21,22,2,,2,3
AGR_000155,F,14,25,2,4,2,3
AGR_000156,M,29,23,1,,2,3
AGR_000157,F,2,25,2,10,2,
AGR_000158,F,22,24,1,,2,3
AGR_000159,F,18,25,2,4,2,13
AGR_000160,M,28,23,2,,2,3
AGR_000161,M,36,22,1,,2,3
AGR_000162,M,16,25,2,7,2,
AGR_000163,F,25,22,2,,2,3
AGR_000164,M,17,22,2,,1,
AGR_000165,M,27,23,2,,2,3
AGR_000166,M,28,25,2,6,2,11
AGR_000167,M,2,25,1,10,2,
AGR_000168,M,22,22,1,,2,
AGR_000169,F,31,10,2,,1,
AGR_000170,I,0,24,1,,2,
AGR_000171,I,0,24,2,,2,
AGR_000172,M,0,9,1,,2,1
AGR_000173,F,0,22,2,,2,3
AGR_000174,M,0,23,1,,2,3
AGR_000175,M,0,25,1,6,2,
AGR_000176,F,2,23,2,,,
AGR_000177,M,99,25,2,8,2,
AGR_000178,F,32,25,2,6,2,3
AGR_000179,F,25,25,2,6,2,3
AGR_000180,M,18,22,1,,2,3
AGR_000181,M,0,23,2,,2,1
AGR_000182,M,2,22,1,,2,15
AGR_000183,M,0,9,2,,1,
AGR_000184,F,0,25,2,6,2,1
AGR_000185,M,0,25,2,1,2,
AGR_000186,M,0,23,2,,1,3
AGR_000187,M,0,25,2,4,2,15
AGR_000188,M,0,23,2,,2,2
AGR_000189,F,0,25,2,4,2,
AGR_000190,,0,10,2,,2,
AGR_000191,,0,9,2,,2,
AGR_000192,F,0,25,2,2,2,
AGR_000193,M,0,23,1,,1,1
AGR_000194,F,2,23,2,,,3
AGR_000195,M,0,25,2,6,2,11
AGR_000196,F,0,25,1,8,2,3
AGR_000197,F,2,24,1,,2,3
AGR_000198,F,2,25,1,10,2,
AGR_000199,F,2,25,1,10,2,3
AGR_000200,M,0,25,2,2,2,4
AGR_000201,F,2,23,2,,2,3
AGR_000202,M,2,25,1,10,2,3
AGR_000203,F,0,22,1,,2,
AGR_000204,M,0,10,2,,2,
AGR_000205,F,0,25,1,8,2,1
AGR_000206,M,0,24,1,,2,15
AGR_000207,M,0,25,1,,2,
AGR_000208,M,0,24,2,,1,
AGR_000209,,0,25,2,6,2,
AGR_000210,M,2,22,1,,,4
AGR_000211,I,0,25,2,2,2,15
AGR_000212,M,0,9,1,,2,15
AGR_000213,F,0,10,1,,2,14
AGR_000214,F,2,24,2,,2,
AGR_000215,M,2,25,2,10,2,3
AGR_000216,M,0,25,2,13,2,3
AGR_000217,,0,10,2,,2,15
AGR_000218,M,0,10,1,,2,2
AGR_000219,M,0,24,1,,1,
AGR_000220,,0,22,2,,2,3
AGR_000221,F,0,25,2,6,2,3
AGR_000222,M,0,25,2,8,2,4
AGR_000223,F,2,23,2,,2,
AGR_000224,M,2,24,2,,2,15
AGR_000225,M,2,23,2,,2,15
AGR_000226,SD,0,24,2,,2,
AGR_000227,,0,25,2,10,2,11
AGR_000228,M,0,24,2,,2,1
AGR_000229,F,0,25,2,6,1,2
AGR_000230,M,0,10,1,,2,
AGR_000231,F,2,24,2,,,
AGR_000232,F,0,10,2,,2,1
AGR_000233,F,0,25,2,8,2,
AGR_000234,M,40,25,2,6,2,
AGR_000235,M,17,25,2,8,2,
AGR_000236,F,22,25,1,10,2,15
AGR_000237,F,21,10,1,,2,
AGR_000238,M,6,22,2,,2,15
AGR_000239,M,2,25,2,2,2,
AGR_000240,M,0,22,1,,2,2
AGR_000241,,0,22,2,,2,11
AGR_000242,,0,24,2,,2,3
AGR_000243,M,0,24,1,,2,1
AGR_000244,F,0,25,2,7,2,
AGR_000245,F,0,24,1,,2,4
AGR_000246,F,2,24,2,,,4
AGR_000247,M,2,23,2,,,4
AGR_000248,F,2,25,2,9,,
AGR_000249,F,2,22,1,,,
AGR_000250,M,0,25,1,11,2,
AGR_000251,,0,22,2,,2,4
AGR_000252,M,0,10,2,,2,15
AGR_000253,M,0,9,1,,2,4
AGR_000254,M,0,25,1,4,2,
AGR_000255,M,27,24,2,,2,
AGR_000256,M,0,23,1,,2,1
AGR_000257,F,0,25,2,10,2,3
AGR_000258,F,0,22,1,,2,4
AGR_000259,M,64,22,1,,2,3
AGR_000260,M,32,22,2,,2,3
AGR_000261,M,58,24,2,,1,
AGR_000262,M,23,23,2,,2,1
AGR_000263,M,31,23,2,,2,3
AGR_000264,M,0,25,2,6,1,11
AGR_000265,F,15,25,2,2,2,
AGR_000266,M,27,25,2,6,2,3
AGR_000267,M,39,22,1,,2,3
AGR_000268,SD,0,24,1,,2,
AGR_000269,M,23,23,2,,2,3
AGR_000270,M,27,24,1,,2,3
AGR_000271,F,0,9,1,,2,
AGR_000272,M,0,25,2,6,1,
AGR_000273,F,0,22,2,,1,2
AGR_000274,,0,25,2,2,2,
AGR_000275,M,0,25,1,2,2,3
AGR_000276,I,0,25,1,8,2,
AGR_000277,F,0,25,1,10,2,
AGR_000278,M,25,22,1,,2,3
AGR_000279,M,30,23,2,,2,1
AGR_000280,M,52,22,1,,2,
AGR_000281,F,29,9,1,,2,3
AGR_000282,M,16,22,1,,2,
AGR_000283,M,34,22,2,,2,15
AGR_000284,M,25,24,1,,2,
AGR_000285,M,25,22,1,,2,15
AGR_000286,M,38,10,1,,2,
AGR_000287,M,19,22,2,,1,
AGR_000288,M,15,23,2,,2,15
AGR_000289,M,19,25,2,2,2,
AGR_000290,M,30,22,1,,2,4
AGR_000291,M,10,24,2,,2,
AGR_000292,M,18,24,2,,2,
AGR_000293,F,0,25,2,8,2,3
AGR_000294,M,37,9,2,,2,3
AGR_000295,M,14,22,2,,2,
AGR_000296,M,0,25,2,6,2,4
AGR_000297,F,0,25,2,3,2,3
AGR_000298,F,2,24,1,,2,15
AGR_000299,M,0,25,2,2,2,1
AGR_000300,F,2,22,1,,2,15
AGR_000301,,0,23,2,,2,3
AGR_000302,F,0,10,2,,2,15
AGR_000303,M,0,23,1,,2,15
AGR_000304,M,0,22,1,,1,
AGR_000305,F,0,10,1,,1,
AGR_000306,,0,25,2,10,2,3
AGR_000307,M,0,25,2,8,2,15
AGR_000308,M,0,25,1,10,2,4
AGR_000309,M,15,22,2,,2,
AGR_000310,M,25,2,1,,2,3
AGR_000311,F,26,19,2,,2,15
AGR_000312,M,33,1,1,,1,15
AGR_000313,F,32,5,2,,2,1
AGR_000314,M,50,22,2,,2,
AGR_000315,F,14,13,1,,2,
AGR_000316,M,30,,,,2,1
AGR_000317,F,62,22,2,,2,3
AGR_000318,M,23,22,2,,2,
AGR_000319,M,40,2,1,,2,3
AGR_000320,M,50,16,2,,2,
AGR_000321,M,33,,,,2,
AGR_000322,M,32,2,2,,2,15
AGR_000323,M,45,22,1,,2,
AGR_000324,M,35,22,2,,2,
AGR_000325,M,39,2,1,,2,3
AGR_000326,M,20,1,1,,2,15
AGR_000327,M,29,2,1,,2,3
AGR_000328,F,25,7,2,,2,3
AGR_000329,F,41,1,,,1,3
AGR_000330,M,39,1,1,,1,4
AGR_000331,M,50,1,1,,2,3
AGR_000332,M,28,18,2,,2,
AGR_000333,M,38,1,1,,2,3
AGR_000334,M,23,13,1,,2,3
AGR_000335,F,30,17,2,,2,15
AGR_000336,M,34,5,2,,2,3
AGR_000337,M,30,2,1,,2,3
AGR_000338,M,35,,,,2,4
AGR_000339,M,55,9,1,,2,
AGR_000340,M,31,2,1,,2,3
AGR_000341,M,25,22,2,,2,3
AGR_000342,M,28,6,2,,1,
AGR_000343,M,53,2,1,,2,3
AGR_000344,F,23,2,1,,2,
AGR_000345,M,26,1,2,,2,3
AGR_000346,M,26,9,2,,2,3
AGR_000347,M,49,10,2,,2,3
AGR_000348,M,37,6,2,,2,3
AGR_000349,F,35,22,2,,2,
AGR_000350,M,27,6,2,,2,3
AGR_000351,F,18,13,1,,2,
AGR_000352,M,34,2,1,,1,15
AGR_000353,M,30,17,1,,2,
AGR_000354,M,48,11,1,,1,2
AGR_000355,M,30,,,,2,
AGR_000356,M,30,2,1,,2,1
AGR_000357,M,15,18,2,,2,
AGR_000358,F,30,23,2,,2,10
AGR_000359,M,25,22,2,,2,
AGR_000360,M,15,17,1,,2,
AGR_000361,F,0,22,1,,2,1
AGR_000362,M,0,25,2,7,2,1
AGR_000363,I,0,25,2,6,2,3
AGR_000364,F,2,23,2,,2,15
AGR_000365,F,99,22,1,,2,4
AGR_000366,M,99,25,2,13,2,3
AGR_000367,M,0,25,2,12,2,3
AGR_000368,M,45,25,2,2,1,
AGR_000369,M,99,23,2,,2,1
AGR_000370,M,90,,,,2,4
AGR_000371,M,20,22,2,,2,
AGR_000372,M,28,1,1,,2,15
AGR_000373,F,99,10,1,,2,3
AGR_000374,M,22,19,2,,1,
AGR_000375,F,23,9,1,,2,3
AGR_000376,M,38,17,2,,2,
AGR_000377,M,13,18,2,,2,
AGR_000378,M,30,22,2,,2,
AGR_000379,M,15,23,2,,2,
AGR_000380,M,25,2,2,,2,15
AGR_000381,F,23,1,2,,2,3
AGR_000382,M,40,13,2,,2,15
AGR_000383,M,27,2,1,,2,3
AGR_000384,M,35,9,1,,2,3
AGR_000385,M,35,22,2,,2,3
AGR_000386,M,16,7,2,,2,
AGR_000387,M,17,3,2,,2,
AGR_000388,M,30,15,2,,2,
AGR_000389,M,40,5,2,,2,
AGR_000390,M,60,14,2,,2,
AGR_000391,M,99,21,2,,2,
AGR_000392,M,30,6,2,,2,3
