id_comuna_barrio,cod_mpio_dane,nombre_municipio,codigo_comuna,nombre_comuna,codigo_barrio,nombre_barrio
CBA_000001,05001,Medellin,01,01 Popular,0103,Popular
CBA_000002,05001,Medellin,07,07 Robledo,0710,López De Mesa
CBA_000003,05001,Medellin,01,01 Popular,0112,Carpinelo
CBA_000004,05001,Medellin,90,90 Corregimiento De Santa Elena,9003,Llanaditas
CBA_000005,05001,Medellin,15,15 Guayabal,1511,La Colina
CBA_000006,05001,Medellin,04,04 Aranjuez,0402,San Isidro
CBA_000007,05001,Medellin,01,01 Popular,0111,La Avanzada
CBA_000008,05001,Medellin,99,Sin Información,9999,Sin Información
CBA_000009,05001,Medellin,60,60 Corregimiento De San Cristobal,6016,Suburbano Travesias
CBA_000010,05001,Medellin,16,16 Belén,1610,El Rincón
CBA_000011,05001,Medellin,07,07 Robledo,0711,El Diamante
CBA_000012,05001,Medellin,11,11 Laureles,1104,San Joaquín
CBA_000013,05001,Medellin,09,09 Buenos Aires,0907,Buenos Aires
CBA_000014,05001,Medellin,04,04 Aranjuez,0405,Moravia
CBA_000015,05001,Medellin,16,16 Belén,1606,Las Playas
CBA_000016,05001,Medellin,05,05 Castilla,0514,Alfonso López
CBA_000017,05001,Medellin,13,13 San Javier,1302,Olaya Herrera
CBA_000018,05001,Medellin,08,08 Villa Hermosa,0814,San Antonio
CBA_000019,05001,Medellin,03,03 Manrique,0305,El Raizal
CBA_000020,05001,Medellin,60,60 Corregimiento De San Cristobal,6098,Área De Expansión Pajarito
CBA_000021,05001,Medellin,03,03 Manrique,0303,Campo Valdés No. 2
CBA_000022,05001,Medellin,06,06 Doce De Octubre,0602,Doce De Octubre No.1
CBA_000023,05001,Medellin,06,06 Doce De Octubre,0606,San Martín De Porres
CBA_000024,05001,Medellin,05,05 Castilla,0511,Castilla
CBA_000025,05001,Medellin,04,04 Aranjuez,0401,Berlin
CBA_000026,05001,Medellin,07,07 Robledo,0713,Aures No.1
CBA_000027,05001,Medellin,09,09 Buenos Aires,0902,Barrio De Jesús
CBA_000028,05001,Medellin,07,07 Robledo,0712,Aures No. 2
CBA_000029,05001,Medellin,01,01 Popular,0102,Santo Domingo Savio No. 2
CBA_000030,05001,Medellin,07,07 Robledo,0713,El Picacho
CBA_000031,05001,Medellin,03,03 Manrique,0309,Versalles No. 1
CBA_000032,05001,Medellin,02,02 Santa Cruz,0207,Villa Del Socorro
CBA_000033,05001,Medellin,09,09 Buenos Aires,0910,Cataluña
CBA_000034,05001,Medellin,09,09 Buenos Aires,0911,Gerona
CBA_000035,05001,Medellin,03,03 Manrique,0302,Las Granjas
CBA_000036,05001,Medellin,09,09 Buenos Aires,0905,Alejandro Echavarría
CBA_000037,05001,Medellin,08,08 Villa Hermosa,0816,Villa Turbay
CBA_000038,05001,Medellin,08,08 Villa Hermosa,0819,Villa Liliam
CBA_000039,05001,Medellin,12,12 La America,1204,La América
CBA_000040,05001,Medellin,11,11 Laureles,1110,La Castellana
CBA_000041,05001,Medellin,08,08 Villa Hermosa,0808,Enciso
CBA_000042,05001,Medellin,02,02 Santa Cruz,0201,La Isla
CBA_000043,05001,Medellin,06,06 Doce De Octubre,0601,Santander
CBA_000044,05001,Medellin,80,80 Corregimiento De San Antonio De Prado,8000,Cabecera San Antonio De Prado
CBA_000045,05001,Medellin,02,02 Santa Cruz,0211,La Rosa
CBA_000046,05001,Medellin,06,06 Doce De Octubre,0609,Picachito
CBA_000047,05001,Medellin,03,03 Manrique,0304,Santa Inés
CBA_000048,05001,Medellin,04,04 Aranjuez,0415,Miranda
CBA_000049,05001,Medellin,09,09 Buenos Aires,0913,Loreto
CBA_000050,05001,Medellin,13,13 San Javier,1316,El Salado
CBA_000051,05001,Medellin,08,08 Villa Hermosa,0813,Villatina
CBA_000052,05001,Medellin,01,01 Popular,0101,Santo Domingo Savio No. 1
CBA_000053,05001,Medellin,03,03 Manrique,0315,San José La Cima No.2
CBA_000054,05001,Medellin,16,16 Belén,1605,San Bernardo
CBA_000055,05001,Medellin,11,11 Laureles,1112,El Velódromo
CBA_000056,05001,Medellin,16,16 Belén,1617,Las Mercedes
CBA_000057,05001,Medellin,06,06 Doce De Octubre,0608,Picacho
CBA_000058,05001,Medellin,02,02 Santa Cruz,0209,Moscú No. 2
CBA_000059,05001,Medellin,16,16 Belén,1612,La Gloria
CBA_000060,05001,Medellin,11,11 Laureles,1101,Carlos E. Restrepo
CBA_000061,05308,Girardota,99,Sin Información,9999,Sin Información
CBA_000062,05001,Medellin,10,10 La Candelaria,1001,Prado
CBA_000063,05001,Medellin,09,09 Buenos Aires,0912,El Salvador
CBA_000064,05001,Medellin,10,10 La Candelaria,1017,Los Ángeles
CBA_000065,05001,Medellin,05,05 Castilla,0504,Tejelo
CBA_000066,05001,Medellin,14,14 El Poblado,1403,Villa Carlota
CBA_000067,05001,Medellin,09,09 Buenos Aires,0914,Asomadera No. 1
CBA_000068,05001,Medellin,02,02 Santa Cruz,0210,Santa Cruz
CBA_000069,05001,Medellin,07,07 Robledo,0724,Monteclaro
CBA_000070,05001,Medellin,01,01 Popular,0109,El Compromiso
CBA_000071,05001,Medellin,08,08 Villa Hermosa,0810,El Pinal
CBA_000072,05001,Medellin,08,08 Villa Hermosa,0807,Los Mangos
CBA_000073,05001,Medellin,10,10 La Candelaria,1014,Las Palmas
CBA_000074,05001,Medellin,05,05 Castilla,0502,Las Brisas
CBA_000075,05001,Medellin,06,06 Doce De Octubre,0607,Kennedy
CBA_000076,05001,Medellin,06,06 Doce De Octubre,0603,Doce De Octubre N.2
CBA_000077,05001,Medellin,03,03 Manrique,0309,Versalles N.1
CBA_000078,05088,Bello,02,02 Santa Cruz,0208,Villa Niza
CBA_000079,05001,Medellin,04,04 Aranjuez,0410,Campo Valdés N.1
CBA_000080,05001,Medellin,07,07 Robledo,0717,Robledo
CBA_000081,05001,Medellin,04,04 Aranjuez,0411,Las Esmeraldas
CBA_000082,05001,Medellin,02,02 Santa Cruz,0208,Villa Niza
CBA_000083,05001,Medellin,12,12 La America,1203,Los Pinos
CBA_000084,05001,Medellin,08,08 Villa Hermosa,0806,Llanaditas
CBA_000085,05001,Medellin,04,04 Aranjuez,0413,Aranjuez
CBA_000086,05001,Medellin,02,02 Santa Cruz,0202,Playón De Los Comuneros
CBA_000087,05001,Medellin,10,10 La Candelaria,9004,Las Palmas
CBA_000088,05001,Medellin,03,03 Manrique,0307,Manrique Central N.2
CBA_000089,05001,Medellin,15,15 Guayabal,1510,Guayabal
CBA_000090,05001,Medellin,09,09 Buenos Aires,0902,Barrios De Jesus
CBA_000091,05001,Medellin,01,01 Popular,0109,Aldea Pablo Vi
