id_municipio,cod_mpio_dane,nombre_municipio,cod_dpto_dane
MUN_05001,05001,Medellin,05
MUN_05002,05002,Abejorral,05
MUN_05004,05004,Abriaqui,05
MUN_05021,05021,Alejandria,05
MUN_05030,05030,Amaga,05
MUN_05031,05031,Amalfi,05
MUN_05034,05034,Andes,05
MUN_05036,05036,Angelopolis,05
MUN_05042,05042,Santafe De Antioquia,05
MUN_05044,05044,Anza,05
MUN_05045,05045,Apartado,05
MUN_05079,05079,Barbosa,05
MUN_05088,05088,Bello,05
MUN_05101,05101,Ciudad Bolivar,05
MUN_05129,05129,Caldas,05
MUN_05134,05134,Campamento,05
MUN_05138,05138,Cañasgordas,05
MUN_05147,05147,Carepa,05
MUN_05148,05148,El Carmen De Viboral,05
MUN_05154,05154,Caucasia,05
MUN_05172,05172,Chigorodo,05
MUN_05197,05197,Cocorna,05
MUN_05209,05209,Concordia,05
MUN_05212,05212,Copacabana,05
MUN_05237,05237,Don Matias,05
MUN_05240,05240,Ebejico,05
MUN_05250,05250,El Bagre,05
MUN_05266,05266,Envigado,05
MUN_05308,05308,Girardota,05
MUN_05318,05318,Guarne,05
MUN_05321,05321,Guatape,05
MUN_05347,05347,Heliconia,05
MUN_05353,05353,Hispania,05
MUN_05360,05360,Itagui,05
MUN_05361,05361,Ituango,05
MUN_05368,05368,Jerico,05
MUN_05376,05376,La Ceja,05
MUN_05380,05380,La Estrella,05
MUN_05390,05390,La Pintada,05
MUN_05400,05400,La Union,05
MUN_05440,05440,Marinilla,05
MUN_05483,05483,Nariño,05
MUN_05495,05495,Nechi,05
MUN_05501,05501,Olaya,05
MUN_05543,05543,Peque,05
MUN_05604,05604,Remedios,05
MUN_05607,05607,Retiro,05
MUN_05615,05615,Rionegro,05
MUN_05631,05631,Sabaneta,05
MUN_05647,05647,San Andres De Cuerquia,05
MUN_05660,05660,San Luis,05
MUN_05670,05670,San Roque,05
MUN_05679,05679,Santa Barbara,05
MUN_05690,05690,Santo Domingo,05
MUN_05697,05697,El Santuario,05
MUN_05761,05761,Sopetran,05
MUN_05789,05789,Tamesis,05
MUN_05790,05790,Taraza,05
MUN_05809,05809,Titiribi,05
MUN_05819,05819,Toledo,05
MUN_05837,05837,Turbo,05
MUN_05847,05847,Urrao,05
MUN_05887,05887,Yarumal,05
