id_tiempo,fecha,anio_hecho,mes_num,nombre_mes,trimestre,semana_epi,anio_epi,periodo_epid,mes_caso
TIME_000001,1900-01-02,1900,1,ENERO,1,12,2020,3,3
TIME_000002,1900-01-07,1900,1,ENERO,1,11,2014,3,3
TIME_000003,1952-10-19,1952,10,OCTUBRE,4,42,2022,11,10
TIME_000004,1956-12-05,1956,12,DICIEMBRE,4,34,2022,9,8
TIME_000005,1960-01-01,1960,1,ENERO,1,10,2019,3,3
TIME_000006,1962-02-10,1962,2,FEBRERO,1,7,2021,2,2
TIME_000007,1962-10-20,1962,10,OCTUBRE,4,47,2021,12,11
TIME_000008,1964-12-31,1964,12,DICIEMBRE,4,2,2021,1,1
TIME_000009,1965-01-01,1965,1,ENERO,1,38,2022,10,9
TIME_000010,1966-01-01,1966,1,ENERO,1,8,2022,2,2
TIME_000011,1966-11-25,1966,11,NOVIEMBRE,4,33,2021,9,8
TIME_000012,1967-12-20,1967,12,DICIEMBRE,4,34,2022,9,8
TIME_000013,1968-01-01,1968,1,ENERO,1,8,2022,2,3
TIME_000014,1968-07-29,1968,7,JULIO,3,46,2022,12,11
TIME_000015,1969-01-01,1969,1,ENERO,1,30,2022,8,7
TIME_000016,1969-12-30,1969,12,DICIEMBRE,4,49,2022,13,12
TIME_000017,1970-01-01,1970,1,ENERO,1,32,2022,8,8
TIME_000018,1970-10-28,1970,10,OCTUBRE,4,43,2021,11,10
TIME_000019,1970-12-31,1970,12,DICIEMBRE,4,45,2021,12,12
TIME_000020,1971-01-01,1971,1,ENERO,1,47,2021,12,11
TIME_000021,1971-07-19,1971,7,JULIO,3,49,2021,13,12
TIME_000022,1971-11-06,1971,11,NOVIEMBRE,4,35,2021,9,9
TIME_000023,1972-01-01,1972,1,ENERO,1,40,2021,10,10
TIME_000024,1972-04-22,1972,4,ABRIL,2,16,2021,4,4
TIME_000025,1972-05-01,1972,5,MAYO,2,39,2022,10,9
TIME_000026,1973-01-01,1973,1,ENERO,1,40,2022,10,10
TIME_000027,1973-05-11,1973,5,MAYO,2,18,2022,5,5
TIME_000028,1974-01-01,1974,1,ENERO,1,12,2020,3,3
TIME_000029,1974-01-15,1974,1,ENERO,1,44,2021,11,11
TIME_000030,1974-07-01,1974,7,JULIO,3,16,2021,4,4
TIME_000031,1974-09-10,1974,9,SEPTIEMBRE,3,24,2022,6,6
TIME_000032,1974-12-31,1974,12,DICIEMBRE,4,11,2021,3,3
TIME_000033,1975-01-01,1975,1,ENERO,1,12,2022,3,3
TIME_000034,1975-09-11,1975,9,SEPTIEMBRE,3,5,2022,2,2
TIME_000035,1975-10-19,1975,10,OCTUBRE,4,42,2022,11,10
TIME_000036,1976-01-01,1976,1,ENERO,1,41,2022,11,10
TIME_000037,1976-05-21,1976,5,MAYO,2,24,2019,6,6
TIME_000038,1976-06-26,1976,6,JUNIO,2,39,2022,10,9
TIME_000039,1976-07-15,1976,7,JULIO,3,26,2021,7,7
TIME_000040,1976-10-01,1976,10,OCTUBRE,4,52,2022,13,12
TIME_000041,1977-01-01,1977,1,ENERO,1,43,2022,11,10
TIME_000042,1977-03-01,1977,3,MARZO,1,20,2022,5,5
TIME_000043,1977-03-24,1977,3,MARZO,1,1,2022,1,1
TIME_000044,1977-06-05,1977,6,JUNIO,2,51,2019,13,12
TIME_000045,1977-07-14,1977,7,JULIO,3,16,2022,16,4
TIME_000046,1977-08-10,1977,8,AGOSTO,3,32,2021,8,8
TIME_000047,1977-08-15,1977,8,AGOSTO,3,18,2022,5,5
TIME_000048,1978-01-01,1978,1,ENERO,1,30,2022,8,7
TIME_000049,1978-05-01,1978,5,MAYO,2,8,2022,2,2
TIME_000050,1978-08-15,1978,8,AGOSTO,3,7,2022,2,2
TIME_000051,1978-12-22,1978,12,DICIEMBRE,4,51,2022,13,12
TIME_000052,1979-01-01,1979,1,ENERO,1,13,2022,16,4
TIME_000053,1979-03-02,1979,3,MARZO,1,3,2020,1,1
TIME_000054,1980-01-01,1980,1,ENERO,1,22,2022,6,6
TIME_000055,1980-01-10,1980,1,ENERO,1,24,2021,6,6
TIME_000056,1980-04-28,1980,4,ABRIL,2,17,2021,5,4
TIME_000057,1980-07-05,1980,7,JULIO,3,47,2022,12,11
TIME_000058,1980-08-10,1980,8,AGOSTO,3,22,2022,6,6
TIME_000059,1980-12-31,1980,12,DICIEMBRE,4,8,2022,2,2
TIME_000060,1981-01-01,1981,1,ENERO,1,10,2019,3,3
TIME_000061,1982-01-01,1982,1,ENERO,1,9,2022,3,3
TIME_000062,1982-03-29,1982,3,MARZO,1,13,2022,16,3
TIME_000063,1982-06-09,1982,6,JUNIO,2,17,2022,5,5
TIME_000064,1982-08-01,1982,8,AGOSTO,3,39,2022,10,10
TIME_000065,1982-12-31,1982,12,DICIEMBRE,4,51,2021,13,12
TIME_000066,1983-01-01,1983,1,ENERO,1,23,2019,6,6
TIME_000067,1983-02-19,1983,2,FEBRERO,1,38,2019,10,9
TIME_000068,1983-12-31,1983,12,DICIEMBRE,4,48,2021,12,12
TIME_000069,1984-01-01,1984,1,ENERO,1,49,2020,13,12
TIME_000070,1984-01-04,1984,1,ENERO,1,4,2020,1,1
TIME_000071,1984-06-20,1984,6,JUNIO,2,29,2022,8,8
TIME_000072,1984-07-02,1984,7,JULIO,3,44,2022,11,11
TIME_000073,1985-12-31,1985,12,DICIEMBRE,4,8,2022,2,2
TIME_000074,1986-01-01,1986,1,ENERO,1,44,2022,11,11
TIME_000075,1987-01-01,1987,1,ENERO,1,37,2022,10,9
TIME_000076,1987-03-02,1987,3,MARZO,1,9,2021,3,3
TIME_000077,1987-03-03,1987,3,MARZO,1,35,2022,9,8
TIME_000078,1987-05-02,1987,5,MAYO,2,52,2022,13,12
TIME_000079,1988-01-01,1988,1,ENERO,1,4,2020,1,1
TIME_000080,1988-01-20,1988,1,ENERO,1,26,2022,7,6
TIME_000081,1988-04-16,1988,4,ABRIL,2,15,2021,4,4
TIME_000082,1988-09-12,1988,9,SEPTIEMBRE,3,38,2022,10,9
TIME_000083,1988-10-10,1988,10,OCTUBRE,4,44,2014,11,11
TIME_000084,1989-01-01,1989,1,ENERO,1,18,2022,5,5
TIME_000085,1989-01-10,1989,1,ENERO,1,33,2021,9,8
TIME_000086,1989-01-27,1989,1,ENERO,1,51,2019,13,12
TIME_000087,1989-03-15,1989,3,MARZO,1,26,2019,7,7
TIME_000088,1989-08-01,1989,8,AGOSTO,3,17,2022,5,5
TIME_000089,1990-01-01,1990,1,ENERO,1,32,2022,8,8
TIME_000090,1990-01-23,1990,1,ENERO,1,37,2022,10,9
TIME_000091,1990-05-01,1990,5,MAYO,2,11,2019,3,3
TIME_000092,1990-06-20,1990,6,JUNIO,2,44,2022,11,1
TIME_000093,1990-12-31,1990,12,DICIEMBRE,4,45,2021,12,12
TIME_000094,1991-01-01,1991,1,ENERO,1,31,2019,8,8
TIME_000095,1991-01-10,1991,1,ENERO,1,45,2021,12,11
TIME_000096,1991-05-10,1991,5,MAYO,2,18,2021,5,5
TIME_000097,1991-07-04,1991,7,JULIO,3,27,2019,7,7
TIME_000098,1991-12-14,1991,12,DICIEMBRE,4,45,2021,12,11
TIME_000099,1992-01-01,1992,1,ENERO,1,43,2021,11,10
TIME_000100,1992-03-05,1992,3,MARZO,1,17,2021,5,4
TIME_000101,1992-07-20,1992,7,JULIO,3,6,2022,2,2
TIME_000102,1992-07-24,1992,7,JULIO,3,30,2021,8,7
TIME_000103,1992-09-09,1992,9,SEPTIEMBRE,3,2,2022,1,1
TIME_000104,1992-11-14,1992,11,NOVIEMBRE,4,46,2014,12,11
TIME_000105,1992-12-12,1992,12,DICIEMBRE,4,50,2022,13,12
TIME_000106,1992-12-31,1992,12,DICIEMBRE,4,38,2021,10,9
TIME_000107,1993-01-01,1993,1,ENERO,1,50,2019,13,12
TIME_000108,1993-02-17,1993,2,FEBRERO,1,43,2022,11,10
TIME_000109,1993-06-17,1993,6,JUNIO,2,24,2021,6,6
TIME_000110,1993-07-08,1993,7,JULIO,3,28,2019,7,7
TIME_000111,1993-08-27,1993,8,AGOSTO,3,37,2022,10,9
TIME_000112,1993-10-14,1993,10,OCTUBRE,4,41,2021,11,10
TIME_000113,1994-01-01,1994,1,ENERO,1,3,2020,1,1
TIME_000114,1994-01-22,1994,1,ENERO,1,3,2021,1,1
TIME_000115,1994-02-02,1994,2,FEBRERO,1,36,2021,9,9
TIME_000116,1994-02-20,1994,2,FEBRERO,1,9,2020,3,2
TIME_000117,1994-03-03,1994,3,MARZO,1,10,2022,3,3
TIME_000118,1994-04-19,1994,4,ABRIL,2,16,2021,4,4
TIME_000119,1994-06-18,1994,6,JUNIO,2,38,2022,10,9
TIME_000120,1994-07-08,1994,7,JULIO,3,31,2022,8,8
TIME_000121,1994-08-10,1994,8,AGOSTO,3,15,2019,4,5
TIME_000122,1994-09-01,1994,9,SEPTIEMBRE,3,33,2021,9,8
TIME_000123,1994-11-13,1994,11,NOVIEMBRE,4,43,2022,11,10
TIME_000124,1994-12-30,1994,12,DICIEMBRE,4,48,2021,12,12
TIME_000125,1995-01-01,1995,1,ENERO,1,47,2022,12,11
TIME_000126,1995-06-06,1995,6,JUNIO,2,7,2021,2,2
TIME_000127,1995-07-27,1995,7,JULIO,3,30,2020,8,7
TIME_000128,1996-01-01,1996,1,ENERO,1,16,2022,16,5
TIME_000129,1996-06-01,1996,6,JUNIO,2,8,2021,2,2
TIME_000130,1996-06-15,1996,6,JUNIO,2,47,2021,12,11
TIME_000131,1996-10-10,1996,10,OCTUBRE,4,6,2021,2,2
TIME_000132,1996-12-03,1996,12,DICIEMBRE,4,48,2021,12,12
TIME_000133,1997-01-01,1997,1,ENERO,1,45,2021,12,11
TIME_000134,1997-01-02,1997,1,ENERO,1,4,2020,1,1
TIME_000135,1997-06-01,1997,6,JUNIO,2,47,2022,12,11
TIME_000136,1997-06-20,1997,6,JUNIO,2,48,2022,12,1
TIME_000137,1997-06-22,1997,6,JUNIO,2,48,2021,12,12
TIME_000138,1997-09-07,1997,9,SEPTIEMBRE,3,31,2022,8,8
TIME_000139,1997-10-15,1997,10,OCTUBRE,4,48,2022,12,12
TIME_000140,1997-10-20,1997,10,OCTUBRE,4,44,2020,11,10
TIME_000141,1997-11-16,1997,11,NOVIEMBRE,4,47,2022,12,12
TIME_000142,1997-11-20,1997,11,NOVIEMBRE,4,47,2019,12,11
TIME_000143,1998-01-01,1998,1,ENERO,1,13,2019,4,3
TIME_000144,1998-03-02,1998,3,MARZO,1,16,2021,4,4
TIME_000145,1998-05-01,1998,5,MAYO,2,20,2021,5,5
TIME_000146,1998-08-09,1998,8,AGOSTO,3,32,2021,8,8
TIME_000147,1998-09-01,1998,9,SEPTIEMBRE,3,38,2021,10,9
TIME_000148,1999-01-01,1999,1,ENERO,1,43,2019,11,10
TIME_000149,1999-01-25,1999,1,ENERO,1,11,2020,3,3
TIME_000150,1999-01-31,1999,1,ENERO,1,26,2019,7,6
TIME_000151,1999-02-02,1999,2,FEBRERO,1,3,2022,1,2
TIME_000152,1999-02-10,1999,2,FEBRERO,1,50,2022,13,12
TIME_000153,1999-02-20,1999,2,FEBRERO,1,12,2021,3,3
TIME_000154,1999-03-10,1999,3,MARZO,1,46,2022,12,11
TIME_000155,1999-03-15,1999,3,MARZO,1,48,2022,12,12
TIME_000156,1999-03-20,1999,3,MARZO,1,49,2019,13,12
TIME_000157,1999-05-26,1999,5,MAYO,2,34,2021,9,8
TIME_000158,1999-06-22,1999,6,JUNIO,2,10,2022,3,3
TIME_000159,1999-06-24,1999,6,JUNIO,2,25,2022,7,8
TIME_000160,1999-07-08,1999,7,JULIO,3,43,2022,11,10
TIME_000161,1999-07-28,1999,7,JULIO,3,30,2021,8,7
TIME_000162,1999-09-13,1999,9,SEPTIEMBRE,3,41,2022,11,10
TIME_000163,1999-10-10,1999,10,OCTUBRE,4,44,2022,11,11
TIME_000164,1999-12-01,1999,12,DICIEMBRE,4,7,2014,2,3
TIME_000165,1999-12-12,1999,12,DICIEMBRE,4,6,2020,2,2
TIME_000166,2000-01-01,2000,1,ENERO,1,42,2019,11,10
TIME_000167,2000-01-20,2000,1,ENERO,1,44,2019,11,10
TIME_000168,2000-01-31,2000,1,ENERO,1,5,2022,2,2
TIME_000169,2000-03-01,2000,3,MARZO,1,44,2022,11,11
TIME_000170,2000-03-15,2000,3,MARZO,1,40,2019,10,10
TIME_000171,2000-03-16,2000,3,MARZO,1,37,2022,10,9
TIME_000172,2000-03-20,2000,3,MARZO,1,34,2021,9,8
TIME_000173,2000-04-20,2000,4,ABRIL,2,17,2019,5,4
TIME_000174,2000-05-06,2000,5,MAYO,2,18,2022,5,5
TIME_000175,2000-05-08,2000,5,MAYO,2,10,2014,3,5
TIME_000176,2000-06-05,2000,6,JUNIO,2,38,2021,10,9
TIME_000177,2000-06-15,2000,6,JUNIO,2,38,2022,10,9
TIME_000178,2000-06-20,2000,6,JUNIO,2,10,2021,3,3
TIME_000179,2000-06-24,2000,6,JUNIO,2,25,2022,7,8
TIME_000180,2000-06-29,2000,6,JUNIO,2,26,2022,7,8
TIME_000181,2000-07-01,2000,7,JULIO,3,46,2022,12,11
TIME_000182,2000-07-22,2000,7,JULIO,3,14,2022,16,4
TIME_000183,2000-07-24,2000,7,JULIO,3,43,2022,11,10
TIME_000184,2000-08-08,2000,8,AGOSTO,3,8,2021,2,2
TIME_000185,2000-09-13,2000,9,SEPTIEMBRE,3,43,2022,11,1
TIME_000186,2000-09-20,2000,9,SEPTIEMBRE,3,50,2022,13,1
TIME_000187,2000-09-21,2000,9,SEPTIEMBRE,3,43,2022,11,11
TIME_000188,2000-10-02,2000,10,OCTUBRE,4,40,2022,10,10
TIME_000189,2000-10-05,2000,10,OCTUBRE,4,8,2021,2,2
TIME_000190,2000-10-10,2000,10,OCTUBRE,4,21,2021,6,5
TIME_000191,2000-10-18,2000,10,OCTUBRE,4,43,2020,11,10
TIME_000192,2000-10-20,2000,10,OCTUBRE,4,36,2021,9,9
TIME_000193,2000-11-03,2000,11,NOVIEMBRE,4,44,2022,11,11
TIME_000194,2000-12-15,2000,12,DICIEMBRE,4,50,2022,13,12
TIME_000195,2001-01-01,2001,1,ENERO,1,30,2019,8,7
TIME_000196,2001-01-07,2001,1,ENERO,1,1,2021,1,1
TIME_000197,2001-01-30,2001,1,ENERO,1,47,2022,12,11
TIME_000198,2001-02-02,2001,2,FEBRERO,1,14,2020,4,4
TIME_000199,2001-02-16,2001,2,FEBRERO,1,18,2021,5,5
TIME_000200,2001-02-27,2001,2,FEBRERO,1,7,2022,2,2
TIME_000201,2001-03-02,2001,3,MARZO,1,34,2022,9,8
TIME_000202,2001-03-10,2001,3,MARZO,1,10,2021,3,3
TIME_000203,2001-03-18,2001,3,MARZO,1,11,2021,3,3
TIME_000204,2001-05-15,2001,5,MAYO,2,22,2019,6,5
TIME_000205,2001-05-25,2001,5,MAYO,2,9,2020,3,2
TIME_000206,2001-06-01,2001,6,JUNIO,2,27,2013,7,7
TIME_000207,2001-06-06,2001,6,JUNIO,2,34,2022,9,8
TIME_000208,2001-06-08,2001,6,JUNIO,2,13,2022,16,4
TIME_000209,2001-07-20,2001,7,JULIO,3,10,2022,3,3
TIME_000210,2001-08-16,2001,8,AGOSTO,3,33,2022,9,8
TIME_000211,2001-09-18,2001,9,SEPTIEMBRE,3,10,2019,3,3
TIME_000212,2001-10-10,2001,10,OCTUBRE,4,46,2022,12,11
TIME_000213,2001-10-14,2001,10,OCTUBRE,4,41,2022,11,10
TIME_000214,2001-10-20,2001,10,OCTUBRE,4,43,2020,11,10
TIME_000215,2001-11-07,2001,11,NOVIEMBRE,4,15,2021,4,4
TIME_000216,2001-11-10,2001,11,NOVIEMBRE,4,50,2019,13,12
TIME_000217,2001-12-16,2001,12,DICIEMBRE,4,51,2020,13,1
TIME_000218,2001-12-31,2001,12,DICIEMBRE,4,20,2022,5,5
TIME_000219,2002-01-01,2002,1,ENERO,1,19,2022,5,5
TIME_000220,2002-01-10,2002,1,ENERO,1,31,2022,8,8
TIME_000221,2002-02-01,2002,2,FEBRERO,1,5,2021,2,2
TIME_000222,2002-02-05,2002,2,FEBRERO,1,47,2020,12,11
TIME_000223,2002-02-10,2002,2,FEBRERO,1,51,2019,13,12
TIME_000224,2002-03-01,2002,3,MARZO,1,5,2020,2,1
TIME_000225,2002-03-03,2002,3,MARZO,1,16,2020,4,4
TIME_000226,2002-03-10,2002,3,MARZO,1,23,2022,6,6
TIME_000227,2002-03-28,2002,3,MARZO,1,17,2022,5,4
TIME_000228,2002-05-01,2002,5,MAYO,2,48,2022,12,12
TIME_000229,2002-05-05,2002,5,MAYO,2,24,2022,6,6
TIME_000230,2002-05-20,2002,5,MAYO,2,27,2022,7,7
TIME_000231,2002-06-15,2002,6,JUNIO,2,26,2022,7,7
TIME_000232,2002-07-08,2002,7,JULIO,3,30,2022,8,8
TIME_000233,2002-07-14,2002,7,JULIO,3,46,2022,12,11
TIME_000234,2002-07-15,2002,7,JULIO,3,9,2022,3,3
TIME_000235,2002-09-15,2002,9,SEPTIEMBRE,3,37,2022,10,9
TIME_000236,2002-09-28,2002,9,SEPTIEMBRE,3,39,2022,10,9
TIME_000237,2002-10-06,2002,10,OCTUBRE,4,37,2021,10,10
TIME_000238,2002-11-01,2002,11,NOVIEMBRE,4,31,2022,8,8
TIME_000239,2002-11-04,2002,11,NOVIEMBRE,4,45,2020,12,11
TIME_000240,2002-11-17,2002,11,NOVIEMBRE,4,24,2021,6,6
TIME_000241,2002-12-01,2002,12,DICIEMBRE,4,47,2022,12,11
TIME_000242,2002-12-14,2002,12,DICIEMBRE,4,51,2013,13,12
TIME_000243,2002-12-31,2002,12,DICIEMBRE,4,18,2022,5,5
TIME_000244,2003-01-01,2003,1,ENERO,1,48,2022,12,12
TIME_000245,2003-01-05,2003,1,ENERO,1,27,2022,7,7
TIME_000246,2003-02-01,2003,2,FEBRERO,1,33,2022,9,8
TIME_000247,2003-02-19,2003,2,FEBRERO,1,52,2022,13,1
TIME_000248,2003-03-03,2003,3,MARZO,1,15,2022,16,4
TIME_000249,2003-04-18,2003,4,ABRIL,2,16,2022,16,4
TIME_000250,2003-05-01,2003,5,MAYO,2,16,2022,16,4
TIME_000251,2003-05-10,2003,5,MAYO,2,30,2019,8,7
TIME_000252,2003-06-13,2003,6,JUNIO,2,35,2022,9,8
TIME_000253,2003-06-23,2003,6,JUNIO,2,18,2022,5,6
TIME_000254,2003-07-10,2003,7,JULIO,3,42,2020,11,10
TIME_000255,2003-08-01,2003,8,AGOSTO,3,31,2022,8,8
TIME_000256,2003-09-22,2003,9,SEPTIEMBRE,3,38,2022,10,9
TIME_000257,2003-11-10,2003,11,NOVIEMBRE,4,46,2022,12,11
TIME_000258,2003-12-26,2003,12,DICIEMBRE,4,7,2020,2,2
TIME_000259,2004-01-01,2004,1,ENERO,1,10,2020,3,3
TIME_000260,2004-01-30,2004,1,ENERO,1,37,2022,10,9
TIME_000261,2004-02-02,2004,2,FEBRERO,1,21,2022,6,5
TIME_000262,2004-02-15,2004,2,FEBRERO,1,50,2022,13,12
TIME_000263,2004-03-10,2004,3,MARZO,1,52,2022,13,1
TIME_000264,2004-04-10,2004,4,ABRIL,2,16,2022,16,5
TIME_000265,2004-05-05,2004,5,MAYO,2,14,2019,4,4
TIME_000266,2004-05-13,2004,5,MAYO,2,18,2022,5,5
TIME_000267,2004-05-16,2004,5,MAYO,2,47,2022,12,12
TIME_000268,2004-05-17,2004,5,MAYO,2,41,2022,11,10
TIME_000269,2004-06-01,2004,6,JUNIO,2,42,2019,11,10
TIME_000270,2004-07-22,2004,7,JULIO,3,29,2022,8,7
TIME_000271,2004-08-13,2004,8,AGOSTO,3,4,2021,1,2
TIME_000272,2004-08-16,2004,8,AGOSTO,3,33,2022,9,8
TIME_000273,2004-08-19,2004,8,AGOSTO,3,34,2020,9,8
TIME_000274,2004-09-02,2004,9,SEPTIEMBRE,3,35,2022,9,9
TIME_000275,2004-10-01,2004,10,OCTUBRE,4,40,2019,10,10
TIME_000276,2004-10-13,2004,10,OCTUBRE,4,1,2020,1,1
TIME_000277,2004-10-20,2004,10,OCTUBRE,4,44,2019,11,10
TIME_000278,2004-10-21,2004,10,OCTUBRE,4,43,2020,11,10
TIME_000279,2004-11-09,2004,11,NOVIEMBRE,4,46,2014,12,11
TIME_000280,2004-11-24,2004,11,NOVIEMBRE,4,47,2022,12,11
TIME_000281,2004-12-28,2004,12,DICIEMBRE,4,40,2019,10,10
TIME_000282,2004-12-31,2004,12,DICIEMBRE,4,21,2022,6,5
TIME_000283,2005-01-01,2005,1,ENERO,1,1,2020,1,1
TIME_000284,2005-01-03,2005,1,ENERO,1,12,2019,3,3
TIME_000285,2005-01-15,2005,1,ENERO,1,39,2019,10,10
TIME_000286,2005-02-01,2005,2,FEBRERO,1,14,2019,4,4
TIME_000287,2005-02-02,2005,2,FEBRERO,1,23,2022,6,6
TIME_000288,2005-02-03,2005,2,FEBRERO,1,42,2021,11,10
TIME_000289,2005-02-19,2005,2,FEBRERO,1,8,2020,2,2
TIME_000290,2005-03-02,2005,3,MARZO,1,9,2022,3,3
