fecha,anio_mes,anio_hecho,mes_num,nombre_municipio,estrato,sexo_victima,sexo_agresor,casos
2020-02-28,2020-02,2020,2,Abejorral,3,F,M,1
2020-03-04,2020-03,2020,3,Abejorral,2,F,M,1
2020-09-11,2020-09,2020,9,Abejorral,3,F,F,1
2020-11-13,2020-11,2020,11,Abejorral,1,F,F,1
2021-07-22,2021-07,2021,7,Abejorral,2,F,M,1
2022-04-07,2022-04,2022,4,Abejorral,3,F,M,1
2022-11-11,2022-11,2022,11,Abejorral,3,F,M,1
2021-04-24,2021-04,2021,4,Abriaqui,Sin Dato,F,M,1
2021-06-16,2021-06,2021,6,Alejandria,Sin Dato,F,M,1
2021-08-09,2021-08,2021,8,Amaga,1,F,M,1
2022-01-03,2022-01,2022,1,Amaga,2,F,M,1
2022-11-25,2022-11,2022,11,Amalfi,2,F,M,1
2019-11-26,2019-11,2019,11,Andes,2,F,M,1
2020-07-13,2020-07,2020,7,Andes,2,F,F,1
2022-05-16,2022-05,2022,5,Andes,2,F,M,1
2019-03-28,2019-03,2019,3,Angelopolis,1,F,M,1
2021-02-22,2021-02,2021,2,Angelopolis,1,F,M,1
2022-07-03,2022-07,2022,7,Angelopolis,2,F,M,1
2021-12-07,2021-12,2021,12,Anza,1,F,M,1
2019-04-05,2019-04,2019,4,Apartado,2,F,M,1
2019-07-27,2019-07,2019,7,Apartado,Sin Dato,F,F,1
2019-11-16,2019-11,2019,11,Apartado,Sin Dato,M,M,1
2020-01-17,2020-01,2020,1,Apartado,1,F,M,1
2021-03-31,2021-03,2021,3,Apartado,2,F,F,1
2019-03-10,2019-03,2019,3,Barbosa,2,F,M,1
2019-06-07,2019-06,2019,6,Barbosa,2,F,M,1
2020-02-15,2020-02,2020,2,Barbosa,Sin Dato,F,M,1
2021-11-29,2021-11,2021,11,Barbosa,2,F,M,1
2022-08-02,2022-08,2022,8,Barbosa,3,F,M,1
2015-06-22,2015-06,2015,6,Bello,Sin Dato,M,M,1
2015-09-29,2015-09,2015,9,Bello,Sin Dato,F,M,1
2017-04-21,2017-04,2017,4,Bello,Sin Dato,F,M,1
2017-06-22,2017-06,2017,6,Bello,Sin Dato,F,M,1
2017-10-04,2017-10,2017,10,Bello,Sin Dato,M,M,1
2018-06-15,2018-06,2018,6,Bello,Sin Dato,F,M,1
2019-01-08,2019-01,2019,1,Bello,Sin Dato,M,M,1
2019-01-13,2019-01,2019,1,Bello,Sin Dato,F,M,1
2019-01-21,2019-01,2019,1,Bello,Sin Dato,F,M,1
2019-02-25,2019-02,2019,2,Bello,Sin Dato,F,M,2
2019-02-27,2019-02,2019,2,Bello,2,F,M,1
2019-03-21,2019-03,2019,3,Bello,Sin Dato,F,M,1
2019-03-27,2019-03,2019,3,Bello,Sin Dato,F,M,1
2019-04-12,2019-04,2019,4,Bello,Sin Dato,F,M,1
2019-04-16,2019-04,2019,4,Bello,Sin Dato,F,M,2
2019-04-27,2019-04,2019,4,Bello,2,F,M,1
2019-04-29,2019-04,2019,4,Bello,3,F,M,1
2019-05-06,2019-05,2019,5,Bello,2,F,M,2
2019-05-20,2019-05,2019,5,Bello,Sin Dato,F,M,1
2019-05-23,2019-05,2019,5,Bello,3,F,F,1
2019-05-24,2019-05,2019,5,Bello,Sin Dato,F,M,1
2019-05-25,2019-05,2019,5,Bello,4,F,M,1
2019-05-28,2019-05,2019,5,Bello,3,F,M,1
2019-05-31,2019-05,2019,5,Bello,1,F,M,1
2019-06-13,2019-06,2019,6,Bello,2,F,M,1
2019-06-15,2019-06,2019,6,Bello,3,F,M,1
2019-06-21,2019-06,2019,6,Bello,2,F,M,1
2019-07-08,2019-07,2019,7,Bello,2,F,M,2
2019-07-11,2019-07,2019,7,Bello,2,F,M,1
2019-07-26,2019-07,2019,7,Bello,1,F,M,1
2019-07-27,2019-07,2019,7,Bello,2,F,M,1
2019-07-29,2019-07,2019,7,Bello,Sin Dato,F,F,1
2019-07-29,2019-07,2019,7,Bello,3,F,M,1
2019-07-30,2019-07,2019,7,Bello,Sin Dato,F,F,1
2019-08-01,2019-08,2019,8,Bello,2,F,M,1
2019-08-29,2019-08,2019,8,Bello,2,F,M,1
2019-08-31,2019-08,2019,8,Bello,2,F,M,2
2019-09-02,2019-09,2019,9,Bello,2,F,M,1
2019-09-04,2019-09,2019,9,Bello,1,M,M,1
2019-09-07,2019-09,2019,9,Bello,2,F,M,1
2019-09-09,2019-09,2019,9,Bello,2,F,M,1
2019-09-14,2019-09,2019,9,Bello,2,F,F,1
2019-09-16,2019-09,2019,9,Bello,Sin Dato,F,M,1
2019-09-17,2019-09,2019,9,Bello,2,F,M,1
2019-09-18,2019-09,2019,9,Bello,Sin Dato,F,M,1
2019-09-23,2019-09,2019,9,Bello,2,F,M,1
2019-09-27,2019-09,2019,9,Bello,2,F,M,1
2019-09-30,2019-09,2019,9,Bello,Sin Dato,F,M,1
2019-10-01,2019-10,2019,10,Bello,1,F,F,1
2019-10-02,2019-10,2019,10,Bello,3,F,M,1
2019-10-06,2019-10,2019,10,Bello,2,F,M,1
2019-10-11,2019-10,2019,10,Bello,3,F,M,1
2019-10-13,2019-10,2019,10,Bello,1,F,M,1
2019-10-15,2019-10,2019,10,Bello,Sin Dato,F,M,1
2019-10-15,2019-10,2019,10,Bello,2,M,M,1
2019-11-09,2019-11,2019,11,Bello,Sin Dato,F,M,1
2019-11-27,2019-11,2019,11,Bello,1,F,M,1
2019-11-28,2019-11,2019,11,Bello,3,F,M,1
2019-12-06,2019-12,2019,12,Bello,Sin Dato,F,M,1
2019-12-13,2019-12,2019,12,Bello,Sin Dato,M,M,1
2019-12-14,2019-12,2019,12,Bello,3,F,M,1
2020-01-07,2020-01,2020,1,Bello,Sin Dato,F,M,1
2020-01-21,2020-01,2020,1,Bello,1,F,M,1
2020-01-24,2020-01,2020,1,Bello,Sin Dato,F,M,2
2020-01-28,2020-01,2020,1,Bello,1,F,M,1
2020-02-02,2020-02,2020,2,Bello,3,F,M,1
2020-02-05,2020-02,2020,2,Bello,3,M,M,1
2020-02-06,2020-02,2020,2,Bello,2,F,I,1
